Chr	Start	Gene_symbol	ENSG_ID
1	11868	DDX11L1	ENSG00000223972
1	29552	WASH7P	ENSG00000227232
1	29806	MIR1302-2HG	ENSG00000243485
1	36080	FAM138A	ENSG00000237613
1	62947	OR4G11P	ENSG00000240361
1	69090	OR4F5	ENSG00000186092
1	129222	AL627309.1	ENSG00000238009
1	131024	CICP27	ENSG00000233750
1	135894	AL627309.6	ENSG00000268903
1	140338	AL627309.2	ENSG00000239906
1	160445	AL627309.4	ENSG00000241599
1	173861	AL627309.5	ENSG00000241860
1	267252	AP006222.1	ENSG00000228463
1	317719	AL732372.2	ENSG00000237094
1	326514	AL732372.3	ENSG00000250575
1	332235	CICP7	ENSG00000233653
1	470970	RPL23AP24	ENSG00000236679
1	523008	AC114498.1	ENSG00000235146
1	564441	MTND1P23	ENSG00000225972
1	565019	MTND2P28	ENSG00000225630
1	566453	MTCO1P12	ENSG00000237973
1	568136	MTCO2P12	ENSG00000229344
1	568914	MTATP8P1	ENSG00000240409
1	569121	MTATP6P1	ENSG00000248527
1	569756	MTCO3P12	ENSG00000198744
1	657471	CICP3	ENSG00000229376
1	659929	AL669831.3	ENSG00000230021
1	714005	AL669831.1	ENSG00000228327
1	714149	AL669831.5	ENSG00000237491
1	745487	AL669831.4	ENSG00000230092
1	752750	FAM87B	ENSG00000177757
1	762901	LINC00115	ENSG00000225880
1	762987	LINC01128	ENSG00000228794
1	808671	TUBB8P11	ENSG00000234711
1	812282	FAM41C	ENSG00000230368
1	840213	AL645608.6	ENSG00000272438
1	846814	AL645608.2	ENSG00000230699
1	855071	LINC02593	ENSG00000223764
1	860259	SAMD11	ENSG00000187634
1	894688	NOC2L	ENSG00000188976
1	895966	KLHL17	ENSG00000187961
1	901876	PLEKHN1	ENSG00000187583
1	917496	PERM1	ENSG00000187642
1	933430	AL645608.7	ENSG00000272512
1	935551	HES4	ENSG00000188290
1	943608	AL645608.3	ENSG00000231702
1	948572	AL645608.1	ENSG00000224969
1	948802	ISG15	ENSG00000187608
1	955502	AGRN	ENSG00000188157
1	995113	AL390719.1	ENSG00000217801
1	998667	AL645608.8	ENSG00000273443
1	1009686	RNF223	ENSG00000237330
1	1051740	C1orf159	ENSG00000131591
1	1072396	LINC01342	ENSG00000223823
1	1102483	MIR200B	ENSG00000207730
1	1104384	MIR429	ENSG00000198976
1	1104736	AL390719.2	ENSG00000272141
1	1114568	TTLL10	ENSG00000162571
1	1114934	TTLL10-AS1	ENSG00000205231
1	1142070	TNFRSF18	ENSG00000186891
1	1149511	TNFRSF4	ENSG00000186827
1	1167410	SDF4	ENSG00000078808
1	1167628	B3GALT6	ENSG00000176022
1	1182101	C1QTNF12	ENSG00000184163
1	1186713	AL162741.1	ENSG00000260179
1	1209264	UBE2J2	ENSG00000160087
1	1210602	LINC01786	ENSG00000230415
1	1215815	SCNN1D	ENSG00000162572
1	1243397	ACAP3	ENSG00000131584
1	1243946	PUSL1	ENSG00000169972
1	1254068	AL139287.1	ENSG00000240731
1	1260070	INTS11	ENSG00000127054
1	1260135	CPTP	ENSG00000224051
1	1266693	TAS1R3	ENSG00000169962
1	1284729	DVL1	ENSG00000107404
1	1297156	MXRA8	ENSG00000162576
1	1310874	AURKAIP1	ENSG00000175756
1	1314045	NDUFB4P8	ENSG00000223663
1	1334707	CCNL2	ENSG00000221978
1	1334901	AL391244.1	ENSG00000224870
1	1342692	MRPL20	ENSG00000242485
